"","Age","Gender","Education.Level","Job.Title","Years.of.Experience","Salary","Country","Race","Senior"
"126",26,"Male",1,"Accountant",2,40000,"UK","White",0
"127",37,"Female",2,"HR Generalist",9,95000,"USA","African American",1
"128",45,"Male",1,"Sales Operations Manager",NA,110000,"UK","White",0
"129",32,"Female",1,"Marketing Coordinator",4,50000,"USA","White",0
"130",34,"Male",2,"Software Developer",8,105000,"Canada","White",1
"131",50,"Female",2,"Director of Operations",21,160000,"UK","White",0
"132",29,"Male",1,"Web Designer",3,45000,"China","White",0
"133",40,"Female",2,"Training Specialist",12,1e+05,"Canada","Black",1
"134",47,"Male",3,"Research Scientist",NA,160000,"USA","Hispanic",1
"135",27,"Male",1,"Sales Representative",1,NA,"UK","Mixed",0
"136",39,"Female",1,"Administrative Assistant",10,55000,"Canada","Black",0
"137",46,"Male",2,"Project Manager",19,140000,"Canada","Black",1
"138",30,"Female",1,"Marketing Manager",4,NA,"Canada","White",0
"139",36,"Male",1,"Data Analyst",7,60000,"Australia","Asian",0
"140",43,"Female",2,"Product Marketing Manager",14,120000,"Australia","White",1
"141",28,"Male",1,"Business Analyst",2,40000,"USA","White",0
"142",41,"Female",2,"Marketing Manager",13,110000,"Australia","Australian",1
"143",33,"Male",1,"Software Developer",5,50000,"USA","Hispanic",0
"144",47,"Male",1,"Sales Manager",NA,135000,"China","White",1
"145",25,"Female",2,"Marketing Specialist",1.5,40000,"Australia","Asian",0
"146",34,"Male",1,"Business Analyst",8,90000,"Australia","Asian",1
"147",42,"Female",3,"NaN",NA,NA,"China","Chinese",1
"148",31,"Male",1,"Project Manager",4,60000,"UK","Welsh",0
"149",38,"Female",1,"Accountant",10,80000,"USA","African American",1
"150",45,"Male",2,"Director of Sales",NA,NA,"Canada","Black",0
"151",29,"Female",1,"Recruiter",3,45000,"Australia","Australian",0
"152",36,"Male",2,"Business Development Manager",11,120000,"Canada","Black",1
"153",43,"Female",3,"Product Designer",18,140000,"Australia","Asian",1
"154",26,"Male",1,"Customer Support Specialist",2,35000,"USA","Asian",0
"155",37,"Female",2,"Marketing Analyst",9,95000,"Canada","White",1
"156",44,"Male",1,"IT Support Specialist",14,110000,"USA","African American",1
"157",32,"Female",1,"Financial Analyst",5,50000,"USA","Asian",0
"158",33,"Male",2,"Operations Manager",7,115000,"China","Korean",1
"159",51,"Female",3,"Director of Human Resources",23,185000,"China","Chinese",0
"160",28,"Male",1,"Software Engineer",2,40000,"Australia","White",0
"161",39,"Female",1,"Sales Representative",12,90000,"USA","Asian",1
"162",48,"Male",2,"NaN",21,175000,"USA","Asian",0
"163",30,"Female",1,"Copywriter",3,45000,"UK","Mixed",0
"164",35,"Male",1,"Marketing Coordinator",NA,80000,"China","White",1
"165",41,"Female",2,"Human Resources Manager",13,120000,"China","Korean",1
"166",27,"Male",1,"Business Development Associate",1.5,NA,"China","White",0
"167",40,"Female",1,"Account Manager",14,110000,"Australia","Australian",1
"168",46,"Male",3,"Researcher",18,150000,"Canada","Black",1
"169",31,"Female",1,"HR Coordinator",4,50000,"China","Korean",0
"170",34,"Male",2,"Software Engineer",9,105000,"China","Korean",1
"171",50,"Female",2,"Director of Finance",20,180000,"Australia","Australian",0
"172",29,"Male",1,"Marketing Coordinator",NA,40000,"Canada","Asian",0
"173",43,"Male",1,"Project Manager",16,140000,"UK","White",1
"174",26,"Female",2,"Data Scientist",NA,45000,"Canada","Asian",0
"175",35,"Male",1,"Operations Analyst",7,85000,"China","White",1
"176",42,"Female",3,"Marketing Manager",18,140000,"UK","Asian",1
"177",31,"Male",1,"Accountant",4,50000,"UK","Welsh",0
"178",38,"Female",1,"Human Resources Coordinator",10,80000,"UK","Asian",1
"179",46,"Male",2,"Director of Operations",20,170000,"USA","Asian",0
"180",29,"Female",1,"Sales Representative",2,40000,"UK","Welsh",0
"181",37,"Male",2,"Business Analyst",9,105000,"China","Chinese",1
"182",44,"Female",3,"UX Designer",NA,145000,"USA","Hispanic",1
"183",27,"Male",1,"Product Manager",2,40000,"USA","Hispanic",0
"184",36,"Female",1,"Marketing Specialist",8,85000,"USA","African American",1
"185",43,"Male",1,"IT Project Manager",14,130000,"China","Chinese",1
"186",33,"Female",2,"Financial Analyst",NA,95000,"Canada","White",1
"187",34,"Male",1,"Quality Assurance Analyst",9,1e+05,"UK","Mixed",1
"188",50,"Female",3,"Director of Sales and Marketing",22,180000,"China","Korean",0
"189",28,"Male",1,"Operations Analyst",1.5,35000,"UK","Welsh",0
"190",39,"Female",1,"NaN",12,95000,"USA","African American",1
"191",47,"Male",2,"Director of Business Development",NA,170000,"Australia","Asian",0
"192",30,"Female",1,"Social Media Manager",3,45000,"Australia","Australian",0
"193",34,"Male",1,"Product Manager",7,95000,"China","Chinese",1
"194",40,"Female",2,"Human Resources Specialist",13,120000,"UK","Welsh",1
"195",28,"Male",1,"Business Analyst",NA,40000,"USA","African American",0
"196",41,"Female",1,"Marketing Coordinator",11,90000,"Canada","Asian",1
"197",45,"Male",3,"Data Analyst",NA,155000,"UK","Asian",1
"198",32,"Female",1,"Account Manager",5,55000,"Australia","Asian",0
"199",35,"Male",2,"Software Developer",NA,110000,"Canada","Asian",1
"200",49,"Female",2,"Director of Human Capital",21,NA,"UK","Mixed",0
"201",30,"Male",1,"Advertising Coordinator",NA,45000,"UK","White",0
"202",44,"Male",1,"Sales Manager",16,130000,"USA","Asian",1
"203",27,"Female",2,"UX Designer",1.5,NA,"USA","Hispanic",0
"204",36,"Male",1,"Accountant",7,90000,"Canada","White",1
"205",41,"Female",3,"Marketing Director",17,160000,"UK","Mixed",1
"206",31,"Male",1,"HR Generalist",4,50000,"China","Chinese",0
"207",39,"Female",1,"Operations Manager",10,120000,"Australia","Asian",1
"208",47,"Male",2,"Director of Finance",20,170000,"Australia","Australian",0
"209",30,"Female",1,"Marketing Coordinator",2,40000,"China","Korean",0
"210",38,"Male",2,"IT Consultant",9,110000,"China","White",1
"211",45,"Female",3,"Product Designer",NA,150000,"China","Chinese",1
"212",28,"Male",1,"Business Development Associate",2,40000,"USA","Asian",0
"213",35,"Female",1,"Marketing Analyst",8,85000,"USA","White",1
"214",44,"Male",1,"Software Engineer",14,130000,"China","Chinese",1
"215",34,"Female",2,"Financial Advisor",6,NA,"UK","Welsh",1
"216",35,"Male",1,"Project Coordinator",9,NA,"Canada","White",1
"217",50,"Female",3,"Director of Operations",22,180000,"Australia","Australian",0
"218",29,"Male",1,"Business Operations Analyst",NA,NA,"UK","Asian",0
"219",40,"Female",1,"Sales Representative",12,1e+05,"China","Chinese",1
"220",48,"Male",2,"Director of Marketing",19,170000,"USA","Hispanic",0
"221",31,"Female",1,"Social Media Specialist",NA,45000,"UK","Welsh",0
"222",33,"Male",1,"Product Development Manager",7,1e+05,"USA","Hispanic",1
"223",42,"Female",2,"Human Resources Manager",13,140000,"China","White",1
"224",28,"Male",1,"Financial Analyst",2,40000,"Australia","Australian",0
"225",40,"Female",1,"Marketing Manager",NA,NA,"UK","White",1
"226",46,"Male",3,"Data Scientist",18,160000,"Canada","White",1
"227",33,"Female",1,"Operations Manager",NA,NA,"Australia","Asian",0
"228",37,"Male",2,"Software Architect",NA,120000,"Australia","Australian",1
"229",51,"Female",2,"Director of Human Resources",21,190000,"USA","Hispanic",0
"230",30,"Male",1,"Marketing Specialist",NA,45000,"Canada","Black",0
"231",43,"Male",1,"Project Manager",15,120000,"Canada","Asian",1
"232",27,"Female",2,"NaN",1.5,50000,"China","White",0
"233",35,"Male",1,"Operations Analyst",8,85000,"Canada","White",1
"234",42,"Female",3,"Marketing Manager",13,140000,"Canada","White",1
"235",32,"Male",1,"Sales Representative",3,45000,"Australia","White",0
"236",37,"Female",1,"Financial Analyst",9,1e+05,"UK","Welsh",1
"237",45,"Male",2,"Software Developer",16,140000,"Australia","Asian",1
"238",33,"Female",1,"Operations Analyst",5,70000,"Canada","Asian",0
"239",39,"Male",1,"NaN",10,120000,"Canada","Black",1
"240",44,"Female",3,"HR Manager",18,NA,"Canada","White",1
"241",29,"Male",1,"Business Analyst",1.5,40000,"Australia","Australian",0
"242",38,"Female",1,"Product Manager",NA,120000,"China","Korean",1
"243",46,"Male",3,"Data Analyst",19,150000,"UK","Asian",1
"244",34,"Female",1,"NaN",6,70000,"USA","Asian",0
"245",36,"Male",1,"Operations Manager",8,95000,"USA","White",1
"246",49,"Female",2,"Director of Marketing",21,180000,"Canada","White",0
"247",31,"Male",1,"Financial Analyst",3,50000,"Canada","Black",0
"248",41,"Female",1,"Project Coordinator",11,95000,"USA","African American",1
"249",47,"Male",2,"Director of Operations",20,170000,"Canada","White",0
"250",30,"Female",1,"Marketing Coordinator",2,40000,"USA","White",0
"251",38,"Male",2,"IT Consultant",NA,110000,"Australia","Australian",1
"252",45,"Female",3,"Product Designer",15,150000,"China","Korean",1
"253",28,"Male",1,"Business Development Associate",2,40000,"USA","Asian",0
"254",35,"Female",1,"Marketing Analyst",8,85000,"Canada","White",1
"255",44,"Male",1,"Software Engineer",14,130000,"Australia","Australian",1
"256",34,"Female",2,"Financial Advisor",6,1e+05,"Australia","Australian",1
"257",35,"Male",1,"Project Coordinator",9,95000,"UK","Asian",1
"258",50,"Female",3,"NaN",22,180000,"Australia","White",0
"259",29,"Male",1,"Business Operations Analyst",NA,NA,"USA","Hispanic",0
"260",37,"Female",1,"Financial Manager",10,120000,"USA","African American",1
"261",46,"Male",3,"Data Scientist",18,160000,"China","Chinese",1
"262",31,"Female",1,"Marketing Coordinator",3,NA,"Australia","White",0
"263",42,"Male",1,"Operations Manager",12,NA,"Canada","Black",1
"264",29,"Female",1,"Sales Representative",NA,40000,"USA","African American",0
"265",36,"Male",1,"Marketing Specialist",8,95000,"UK","White",1
"266",44,"Female",2,"HR Specialist",15,140000,"China","Chinese",1
"267",33,"Male",1,"Operations Manager",NA,60000,"China","Korean",0
"268",39,"Female",1,"Marketing Coordinator",9,110000,"China","White",1
"269",45,"Male",3,"Data Engineer",NA,150000,"Australia","Asian",1
"270",32,"Female",1,"Marketing Manager",4,60000,"UK","Welsh",0
"271",37,"Male",1,"Financial Analyst",8,90000,"Australia","Australian",1
"272",47,"Female",2,"Director of Marketing",NA,180000,"UK","Mixed",0
"273",30,"Male",1,"Business Analyst",NA,40000,"Australia","Australian",0
"274",38,"Female",1,"Project Manager",9,120000,"UK","Asian",1
"275",46,"Male",3,"Data Analyst",17,160000,"UK","Asian",1
"276",34,"Female",1,"Financial Analyst",5,70000,"UK","Mixed",0
"277",36,"Male",1,"Product Manager",8,95000,"Australia","Asian",1
"278",49,"Female",2,"Director of Operations",21,180000,"UK","Mixed",0
"279",31,"Male",1,"Operations Analyst",NA,50000,"USA","Hispanic",0
"280",41,"Female",1,"Project Coordinator",11,95000,"Canada","Black",1
"281",47,"Male",2,"Director of Marketing",19,170000,"Canada","White",0
"282",29,"Female",1,"Business Development Associate",1.5,35000,"Australia","White",0
"283",35,"Male",1,"Financial Manager",9,1e+05,"Canada","White",1
"284",44,"Female",3,"Product Designer",15,150000,"China","White",1
"285",33,"Male",1,"Business Analyst",4,60000,"Canada","Black",0
"286",35,"Female",1,"Marketing Analyst",8,85000,"China","Chinese",1
"287",44,"Male",1,"Software Engineer",NA,130000,"Canada","White",1
"288",32,"Male",1,"Product Manager",4,65000,"China","Chinese",0
"289",38,"Female",1,"Business Analyst",10,NA,"Australia","Asian",1
"290",49,"Male",3,"Director of Operations",NA,180000,"USA","Asian",0
"291",29,"Female",1,"Marketing Specialist",2,40000,"Australia","Australian",0
"292",35,"Male",1,"Business Development Manager",7,90000,"USA","Hispanic",1
"293",45,"Female",2,"HR Manager",14,140000,"UK","Welsh",1
"294",33,"Male",1,"Financial Analyst",4,60000,"China","Korean",0
"295",40,"Female",1,"Marketing Manager",12,130000,"Australia","Asian",1
"296",44,"Male",3,"Data Scientist",NA,160000,"Australia","Asian",1
"297",30,"Female",1,"Operations Coordinator",2,40000,"Australia","White",0
"298",37,"Male",1,"Marketing Analyst",9,NA,"UK","Mixed",1
"299",48,"Female",2,"Director of HR",20,180000,"USA","Hispanic",0
"300",31,"Male",1,"Project Manager",3,NA,"Canada","Black",0
"301",38,"Female",1,"Operations Coordinator",9,120000,"Canada","Asian",1
"302",45,"Male",3,"Data Engineer",16,150000,"Canada","Black",1
"303",33,"Female",1,"Marketing Manager",5,NA,"UK","Mixed",0
"304",36,"Male",1,"Business Analyst",NA,95000,"China","Chinese",1
"305",49,"Female",2,"Director of Marketing",21,180000,"China","White",0
"306",31,"Male",1,"Operations Analyst",3,50000,"Canada","Black",0
"307",42,"Female",1,"Project Manager",12,NA,"Australia","White",1
"308",47,"Male",2,"Director of Marketing",19,170000,"UK","White",0
"309",29,"Female",1,"Business Development Associate",1.5,35000,"Australia","White",0
"310",35,"Male",1,"Financial Manager",9,1e+05,"Australia","Asian",1
"311",44,"Female",3,"Product Designer",15,150000,"Australia","Asian",1
"312",33,"Male",1,"Business Analyst",4,60000,"UK","White",0
"313",35,"Female",1,"Marketing Analyst",8,85000,"Canada","Black",1
"314",44,"Male",1,"Software Engineer",13,130000,"Australia","White",1
"315",34,"Female",2,"Financial Advisor",6,80000,"Canada","White",1
"316",36,"Male",1,"Marketing Specialist",8,95000,"Canada","White",1
"317",30,"Female",1,"HR Coordinator",2,40000,"UK","Welsh",0
"318",37,"Male",1,"Business Development Manager",10,120000,"China","Chinese",1
"319",45,"Female",2,"Marketing Manager",16,160000,"Canada","Black",1
"320",32,"Male",1,"Financial Advisor",4,NA,"USA","Hispanic",0
"321",39,"Female",1,"Project Manager",NA,130000,"Canada","White",1
"322",47,"Male",3,"Director of Engineering",20,180000,"China","White",0
"323",29,"Female",1,"NaN",2,40000,"Australia","Australian",0
"324",36,"Male",1,"Operations Manager",9,1e+05,"UK","Asian",1
"325",43,"Female",3,"Data Scientist",15,150000,"USA","African American",1
"326",32,"Male",1,"Marketing Coordinator",3,55000,"Canada","White",0
"327",38,"Female",1,"Business Analyst",10,110000,"China","White",1
"328",48,"Male",2,"Director of Marketing",21,NA,"China","Chinese",0
"329",31,"Female",1,"Business Development Associate",3,50000,"China","Korean",0
"330",40,"Male",1,"Financial Analyst",12,130000,"Australia","White",1
"331",45,"Female",3,"UX Designer",16,160000,"Australia","Asian",1
"332",33,"Male",1,"Product Manager",4,60000,"Canada","Asian",0
"333",36,"Female",1,"Marketing Manager",8,95000,"China","Korean",1
"334",47,"Male",2,"Director of Operations",19,170000,"China","Chinese",0
"335",29,"Female",1,"Project Manager",NA,40000,"UK","Mixed",0
"336",34,"Male",1,"Operations Coordinator",7,90000,"UK","Asian",1
"337",44,"Female",3,"Business Analyst",15,NA,"UK","White",1
"338",33,"Male",1,"Marketing Specialist",5,70000,"UK","Welsh",0
"339",35,"Female",1,"Financial Manager",8,90000,"Australia","White",1
"340",43,"Male",2,"Director of Marketing",18,170000,"China","Korean",0
"341",31,"Female",1,"Financial Analyst",NA,50000,"UK","Asian",0
"342",41,"Male",1,"Product Manager",NA,NA,"Canada","White",1
"343",44,"Female",3,"NaN",16,160000,"Canada","Asian",1
"344",33,"Male",1,"Business Analyst",NA,60000,"Canada","Black",0
"345",35,"Female",1,"Marketing Analyst",8,85000,"Canada","Asian",1
"346",45,"Male",2,"Director of Engineering",19,180000,"China","Chinese",0
"347",28,"Female",1,"Operations Manager",1,35000,"Canada","Asian",0
"348",36,"Male",1,"Business Development Manager",8,110000,"USA","Asian",1
"349",44,"Female",3,"Data Scientist",16,160000,"China","Chinese",1
"350",31,"Male",1,"Marketing Coordinator",3,55000,"Canada","Black",0
"351",38,"Female",1,"Business Analyst",10,110000,"Canada","Black",1
"352",48,"Male",2,"Director of Marketing",21,180000,"Canada","Asian",0
"353",31,"Female",1,"Business Development Associate",3,50000,"Canada","Black",0
"354",40,"Male",1,"Financial Analyst",12,130000,"USA","White",1
"355",45,"Female",3,"UX Designer",16,160000,"UK","Asian",1
"356",33,"Male",1,"Product Manager",4,NA,"Canada","White",0
"357",36,"Female",1,"Marketing Manager",8,95000,"UK","Welsh",1
"358",47,"Male",2,"Director of Operations",19,170000,"UK","Welsh",0
"359",29,"Female",1,"Project Manager",2,40000,"Australia","Australian",0
"360",34,"Male",1,"Operations Coordinator",7,90000,"China","Chinese",1
"361",44,"Female",3,"Business Analyst",15,150000,"UK","Welsh",1
"362",33,"Male",1,"Marketing Specialist",5,NA,"Canada","White",0
"363",35,"Female",1,"Financial Manager",8,90000,"China","Chinese",1
"364",43,"Male",2,"Director of Marketing",18,NA,"Canada","Asian",0
"365",31,"Female",1,"Financial Analyst",3,50000,"Canada","Black",0
"366",41,"Male",1,"Product Manager",14,150000,"China","Chinese",1
"367",44,"Female",3,"Data Engineer",NA,160000,"Australia","White",1
"368",33,"Male",1,"Business Analyst",4,60000,"UK","Welsh",0
"369",35,"Female",1,"Marketing Analyst",8,85000,"China","White",1
"370",43,"Male",2,"Director of Operations",19,170000,"China","White",0
"371",29,"Female",1,"Project Manager",2,40000,"USA","Asian",0
"372",34,"Male",1,"Operations Coordinator",7,90000,"China","White",1
"373",44,"Female",3,"Business Analyst",NA,150000,"UK","White",1
"374",31,"Male",2,"NaN",6,160000,"Australia","White",0
"375",28,"Female",1,"Software Engineer",3,125000,"Canada","Black",0
"376",26,"Male",2,"Product Manager",2,120000,"China","White",0
"377",27,"Female",1,"Data Analyst",2,110000,"UK","Mixed",0
"378",30,"Male",3,"Data Scientist",NA,180000,"China","Korean",0
"379",29,"Female",1,"Software Engineer",4,140000,"Australia","White",0
"380",32,"Male",1,"Product Manager",7,170000,"USA","Asian",0
"381",25,"Female",2,"Data Analyst",1,1e+05,"China","White",0
"382",33,"Male",3,"Data Scientist",8,190000,"UK","Mixed",0
"383",31,"Female",1,"Software Engineer",6,155000,"UK","Welsh",0
"384",28,"Male",2,"Product Manager",3,NA,"Canada","Black",0
"385",30,"Female",1,"Data Analyst",5,145000,"USA","African American",0
"386",27,"Male",3,"Data Scientist",2,NA,"USA","African American",0
"387",29,"Female",1,"Software Engineer",4,140000,"USA","Hispanic",0
"388",34,"Male",1,"Product Manager",9,185000,"China","Chinese",0
"389",25,"Female",2,"Data Analyst",NA,1e+05,"Australia","Australian",0
"390",33,"Male",3,"Data Scientist",8,190000,"Canada","Black",0
"391",31,"Female",1,"Software Engineer",6,155000,"UK","Welsh",0
"392",28,"Male",2,"Product Manager",NA,130000,"Australia","White",0
"393",30,"Female",1,"Data Analyst",5,145000,"Australia","White",0
"394",28,"Male",1,"Software Engineer",3,125000,"China","Korean",0
"395",26,"Female",2,"Product Manager",2,120000,"USA","White",0
"396",27,"Male",1,"Data Analyst",NA,110000,"USA","African American",0
"397",30,"Female",3,"Data Scientist",5,180000,"China","Korean",0
"398",29,"Male",1,"Software Engineer",4,140000,"USA","Hispanic",0
"399",32,"Male",1,"Product Manager",7,170000,"China","Chinese",0
"400",25,"Female",2,"Data Analyst",NA,1e+05,"Australia","Asian",0
"401",33,"Male",3,"Data Scientist",NA,190000,"Canada","Asian",0
"402",31,"Female",1,"Software Engineer",NA,155000,"Australia","Australian",0
"403",28,"Male",2,"Product Manager",3,130000,"Canada","Asian",0
"404",30,"Female",1,"Data Analyst",5,145000,"Canada","Asian",0
